,Country,Requests,Dates
1742,SK,8512000,2015-12-01 00:00:00
1743,NP,7531000,2015-12-01 00:00:00
1744,LT,7432000,2015-12-01 00:00:00
1745,GH,7228000,2015-12-01 00:00:00
1746,QA,6860000,2015-12-01 00:00:00
1747,EE,6430000,2015-12-01 00:00:00
1748,GE,6358000,2015-12-01 00:00:00
1749,PE,6227000,2015-12-01 00:00:00
1750,MA,6078000,2015-12-01 00:00:00
1751,KW,6077000,2015-12-01 00:00:00
1752,ET,6070000,2015-12-01 00:00:00
1753,TZ,5691000,2015-12-01 00:00:00
1754,PR,5633000,2015-12-01 00:00:00
1755,LB,5576000,2015-12-01 00:00:00
1756,BA,5575000,2015-12-01 00:00:00
1757,VE,4983000,2015-12-01 00:00:00
1758,MK,4888000,2015-12-01 00:00:00
1759,AL,4834000,2015-12-01 00:00:00
1760,BH,4467000,2015-12-01 00:00:00
1761,DZ,4347000,2015-12-01 00:00:00
1762,JO,4185000,2015-12-01 00:00:00
1763,OM,3885000,2015-12-01 00:00:00
1764,TT,3668000,2015-12-01 00:00:00
1765,JM,3553000,2015-12-01 00:00:00
1766,KZ,3363000,2015-12-01 00:00:00
1767,AZ,3287000,2015-12-01 00:00:00
1768,IS,3254000,2015-12-01 00:00:00
1769,MT,3208000,2015-12-01 00:00:00
1770,MM,3196000,2015-12-01 00:00:00
1771,CR,3057000,2015-12-01 00:00:00
1772,UG,3034000,2015-12-01 00:00:00
1773,CY,3030000,2015-12-01 00:00:00
1774,EC,2964000,2015-12-01 00:00:00
1775,DO,2900000,2015-12-01 00:00:00
1776,MU,2735000,2015-12-01 00:00:00
1777,BY,2724000,2015-12-01 00:00:00
1778,KH,2650000,2015-12-01 00:00:00
1779,TN,2515000,2015-12-01 00:00:00
1780,PA,2233000,2015-12-01 00:00:00
1781,LU,2133000,2015-12-01 00:00:00
1782,ZM,2022000,2015-12-01 00:00:00
1783,MD,2006000,2015-12-01 00:00:00
1784,ZW,1875000,2015-12-01 00:00:00
1785,BN,1814000,2015-12-01 00:00:00
1786,UY,1804000,2015-12-01 00:00:00
1787,AM,1784000,2015-12-01 00:00:00
1788,SD,1754000,2015-12-01 00:00:00
1789,MN,1544000,2015-12-01 00:00:00
1790,GT,1472000,2015-12-01 00:00:00
1791,AO,1385000,2015-12-01 00:00:00
1792,ME,1380000,2015-12-01 00:00:00
1793,BS,1193000,2015-12-01 00:00:00
1794,BB,1159000,2015-12-01 00:00:00
1795,HN,1132000,2015-12-01 00:00:00
1796,SV,1132000,2015-12-01 00:00:00
1797,PS,1025000,2015-12-01 00:00:00
1798,MV,971000,2015-12-01 00:00:00
1799,BO,955000,2015-12-01 00:00:00
1800,CM,953000,2015-12-01 00:00:00
1801,JE,950000,2015-12-01 00:00:00
1802,IM,885000,2015-12-01 00:00:00
1803,RW,859000,2015-12-01 00:00:00
1804,PY,858000,2015-12-01 00:00:00
1805,MO,850000,2015-12-01 00:00:00
1806,NA,800000,2015-12-01 00:00:00
1807,GU,774000,2015-12-01 00:00:00
1808,FJ,771000,2015-12-01 00:00:00
1809,MW,761000,2015-12-01 00:00:00
1810,LY,756000,2015-12-01 00:00:00
1811,BW,756000,2015-12-01 00:00:00
1812,SY,739000,2015-12-01 00:00:00
1813,UZ,733000,2015-12-01 00:00:00
1814,NI,685000,2015-12-01 00:00:00
1815,SO,623000,2015-12-01 00:00:00
1816,YE,616000,2015-12-01 00:00:00
1817,MZ,603000,2015-12-01 00:00:00
1818,KG,589000,2015-12-01 00:00:00
1819,GY,587000,2015-12-01 00:00:00
1820,SR,586000,2015-12-01 00:00:00
1821,GG,554000,2015-12-01 00:00:00
1822,CD,505000,2015-12-01 00:00:00
1823,CW,443000,2015-12-01 00:00:00
1824,SN,438000,2015-12-01 00:00:00
1825,LA,433000,2015-12-01 00:00:00
1826,LR,430000,2015-12-01 00:00:00
1827,GI,430000,2015-12-01 00:00:00
1828,BZ,426000,2015-12-01 00:00:00
1829,AW,406000,2015-12-01 00:00:00
1830,BM,404000,2015-12-01 00:00:00
1831,CI,404000,2015-12-01 00:00:00
1832,KY,403000,2015-12-01 00:00:00
1833,AG,392000,2015-12-01 00:00:00
1834,HT,368000,2015-12-01 00:00:00
1835,LC,347000,2015-12-01 00:00:00
1836,PG,342000,2015-12-01 00:00:00
1837,FO,340000,2015-12-01 00:00:00
1838,MG,337000,2015-12-01 00:00:00
1839,VI,336000,2015-12-01 00:00:00
1840,DJ,317000,2015-12-01 00:00:00
1841,CU,316000,2015-12-01 00:00:00
1842,BT,311000,2015-12-01 00:00:00
1843,SL,291000,2015-12-01 00:00:00
1844,TM,261000,2015-12-01 00:00:00
1845,RE,258000,2015-12-01 00:00:00
1846,GD,230000,2015-12-01 00:00:00
1847,LS,225000,2015-12-01 00:00:00
1848,GM,220000,2015-12-01 00:00:00
1849,DM,213000,2015-12-01 00:00:00
1850,BJ,204000,2015-12-01 00:00:00
1851,TJ,199000,2015-12-01 00:00:00
1852,SZ,184000,2015-12-01 00:00:00
1853,KN,167000,2015-12-01 00:00:00
1854,SC,162000,2015-12-01 00:00:00
1855,VG,154000,2015-12-01 00:00:00
1856,XK,152000,2015-12-01 00:00:00
1857,MP,150000,2015-12-01 00:00:00
1858,SS,141000,2015-12-01 00:00:00
1859,GP,136000,2015-12-01 00:00:00
1860,SX,131000,2015-12-01 00:00:00
1861,GN,125000,2015-12-01 00:00:00
1862,TC,125000,2015-12-01 00:00:00
1863,AX,123000,2015-12-01 00:00:00
1864,VC,122000,2015-12-01 00:00:00
1865,MQ,122000,2015-12-01 00:00:00
1866,TG,116000,2015-12-01 00:00:00
1867,ML,114000,2015-12-01 00:00:00
1868,MC,109000,2015-12-01 00:00:00
1869,GA,108000,2015-12-01 00:00:00
1870,PF,103000,2015-12-01 00:00:00
1871,AD,98000,2015-12-01 00:00:00
1872,BI,98000,2015-12-01 00:00:00
1873,MR,93000,2015-12-01 00:00:00
1874,CV,92000,2015-12-01 00:00:00
1875,NC,91000,2015-12-01 00:00:00
1876,TL,90000,2015-12-01 00:00:00
1877,GL,83000,2015-12-01 00:00:00
1878,BF,83000,2015-12-01 00:00:00
1879,NE,73000,2015-12-01 00:00:00
1880,AS,70000,2015-12-01 00:00:00
1881,BQ,70000,2015-12-01 00:00:00
1882,LI,66000,2015-12-01 00:00:00
1883,CG,58000,2015-12-01 00:00:00
1884,SB,57000,2015-12-01 00:00:00
1885,GF,56000,2015-12-01 00:00:00
1886,MF,48000,2015-12-01 00:00:00
1887,AI,45000,2015-12-01 00:00:00
1888,VU,43000,2015-12-01 00:00:00
1889,FM,35000,2015-12-01 00:00:00
1890,ER,31000,2015-12-01 00:00:00
1891,MH,29000,2015-12-01 00:00:00
1892,TD,27000,2015-12-01 00:00:00
1893,WS,25000,2015-12-01 00:00:00
1894,BL,25000,2015-12-01 00:00:00
1895,CK,24000,2015-12-01 00:00:00
1896,SM,24000,2015-12-01 00:00:00
1897,PW,22000,2015-12-01 00:00:00
1898,GQ,20000,2015-12-01 00:00:00
1899,TO,18000,2015-12-01 00:00:00
1900,FK,18000,2015-12-01 00:00:00
1901,YT,17000,2015-12-01 00:00:00
1902,IO,13000,2015-12-01 00:00:00
1903,PM,13000,2015-12-01 00:00:00
1904,GW,12000,2015-12-01 00:00:00
1905,VA,10000,2015-12-01 00:00:00
1906,ST,7000,2015-12-01 00:00:00
1907,CF,7000,2015-12-01 00:00:00
1908,KP,6000,2015-12-01 00:00:00
1909,MS,6000,2015-12-01 00:00:00
1910,NR,6000,2015-12-01 00:00:00
1911,KI,6000,2015-12-01 00:00:00
1912,KM,4000,2015-12-01 00:00:00
1913,NU,3000,2015-12-01 00:00:00
1914,WF,1000,2015-12-01 00:00:00
1915,TV,1000,2015-12-01 00:00:00
1916,CC,1000,2015-12-01 00:00:00
1917,CX,1000,2015-12-01 00:00:00
1918,SJ,1000,2015-12-01 00:00:00
1919,TK,1000,2015-12-01 00:00:00
1920,NF,1000,2015-12-01 00:00:00
1921,US,3442513000,2016-01-01 00:00:00
1922,GB,869824000,2016-01-01 00:00:00
1923,IN,520923000,2016-01-01 00:00:00
1924,CA,423420000,2016-01-01 00:00:00
1925,IR,243654000,2016-01-01 00:00:00
1926,AU,239949000,2016-01-01 00:00:00
1927,DE,226035000,2016-01-01 00:00:00
1928,PH,108075000,2016-01-01 00:00:00
1929,FR,99110000,2016-01-01 00:00:00
1930,NL,77447000,2016-01-01 00:00:00
1931,BR,67439000,2016-01-01 00:00:00
1932,IE,63302000,2016-01-01 00:00:00
1933,IT,61735000,2016-01-01 00:00:00
1934,SE,61167000,2016-01-01 00:00:00
1935,MY,58856000,2016-01-01 00:00:00
1936,PK,55107000,2016-01-01 00:00:00
1937,SG,54513000,2016-01-01 00:00:00
1938,ID,54299000,2016-01-01 00:00:00
1939,RU,50960000,2016-01-01 00:00:00
1940,JP,49594000,2016-01-01 00:00:00
1941,ES,46989000,2016-01-01 00:00:00
1942,ZA,45261000,2016-01-01 00:00:00
1943,PL,45200000,2016-01-01 00:00:00
1944,CN,42836000,2016-01-01 00:00:00
1945,NZ,41152000,2016-01-01 00:00:00
1946,MX,39039000,2016-01-01 00:00:00
1947,TR,36007000,2016-01-01 00:00:00
1948,FI,34562000,2016-01-01 00:00:00
1949,GR,34193000,2016-01-01 00:00:00
1950,NO,34111000,2016-01-01 00:00:00
1951,RO,34074000,2016-01-01 00:00:00
1952,KR,33115000,2016-01-01 00:00:00
1953,DK,33106000,2016-01-01 00:00:00
1954,NG,32702000,2016-01-01 00:00:00
1955,AE,31148000,2016-01-01 00:00:00
1956,BE,29890000,2016-01-01 00:00:00
1957,HK,28832000,2016-01-01 00:00:00
1958,IL,26735000,2016-01-01 00:00:00
1959,CH,25049000,2016-01-01 00:00:00
1960,TH,24380000,2016-01-01 00:00:00
1961,SA,22917000,2016-01-01 00:00:00
1962,RS,21454000,2016-01-01 00:00:00
1963,PT,20980000,2016-01-01 00:00:00
1964,BD,20768000,2016-01-01 00:00:00
1965,CZ,20478000,2016-01-01 00:00:00
1966,--,20335000,2016-01-01 00:00:00
1967,HU,19896000,2016-01-01 00:00:00
1968,TW,19547000,2016-01-01 00:00:00
1969,HR,18632000,2016-01-01 00:00:00
1970,AT,18361000,2016-01-01 00:00:00
1971,VN,18307000,2016-01-01 00:00:00
1972,UA,17584000,2016-01-01 00:00:00
1973,BG,15687000,2016-01-01 00:00:00
1974,AR,15198000,2016-01-01 00:00:00
1975,KE,13484000,2016-01-01 00:00:00
1976,EG,13478000,2016-01-01 00:00:00
1977,AF,12417000,2016-01-01 00:00:00
1978,SI,11472000,2016-01-01 00:00:00
1979,LK,10745000,2016-01-01 00:00:00
1980,SK,9868000,2016-01-01 00:00:00
1981,CO,9729000,2016-01-01 00:00:00
1982,IQ,9271000,2016-01-01 00:00:00
1983,CL,9086000,2016-01-01 00:00:00
1984,NP,8420000,2016-01-01 00:00:00
1985,LT,8205000,2016-01-01 00:00:00
1986,GH,7946000,2016-01-01 00:00:00
1987,EE,7365000,2016-01-01 00:00:00
1988,QA,7132000,2016-01-01 00:00:00
1989,PE,6539000,2016-01-01 00:00:00
1990,MA,6505000,2016-01-01 00:00:00
1991,BA,6493000,2016-01-01 00:00:00
1992,GE,6446000,2016-01-01 00:00:00
1993,PR,6140000,2016-01-01 00:00:00
1994,KW,6049000,2016-01-01 00:00:00
1995,TZ,6048000,2016-01-01 00:00:00
1996,LB,5905000,2016-01-01 00:00:00
1997,MK,5845000,2016-01-01 00:00:00
1998,ET,5714000,2016-01-01 00:00:00
1999,VE,5700000,2016-01-01 00:00:00
2000,LV,5666000,2016-01-01 00:00:00
2001,AL,5655000,2016-01-01 00:00:00
2002,DZ,4765000,2016-01-01 00:00:00
2003,JM,4265000,2016-01-01 00:00:00
2004,TT,4257000,2016-01-01 00:00:00
2005,BH,3949000,2016-01-01 00:00:00
2006,MT,3821000,2016-01-01 00:00:00
2007,IS,3809000,2016-01-01 00:00:00
2008,JO,3798000,2016-01-01 00:00:00
2009,KZ,3794000,2016-01-01 00:00:00
2010,OM,3698000,2016-01-01 00:00:00
2011,MM,3512000,2016-01-01 00:00:00
2012,CR,3504000,2016-01-01 00:00:00
2013,CY,3441000,2016-01-01 00:00:00
2014,AZ,3311000,2016-01-01 00:00:00
2015,DO,3277000,2016-01-01 00:00:00
2016,EC,3242000,2016-01-01 00:00:00
2017,MU,3155000,2016-01-01 00:00:00
2018,UG,3153000,2016-01-01 00:00:00
2019,BY,2983000,2016-01-01 00:00:00
2020,KH,2733000,2016-01-01 00:00:00
2021,TN,2549000,2016-01-01 00:00:00
2022,LU,2461000,2016-01-01 00:00:00
2023,ZW,2449000,2016-01-01 00:00:00
2024,PA,2346000,2016-01-01 00:00:00
2025,ZM,2303000,2016-01-01 00:00:00
2026,MD,2178000,2016-01-01 00:00:00
2027,AM,2083000,2016-01-01 00:00:00
2028,UY,2022000,2016-01-01 00:00:00
2029,BN,1944000,2016-01-01 00:00:00
2030,SD,1792000,2016-01-01 00:00:00
2031,GT,1738000,2016-01-01 00:00:00
2032,MN,1700000,2016-01-01 00:00:00
2033,ME,1553000,2016-01-01 00:00:00
2034,AO,1448000,2016-01-01 00:00:00
2035,BS,1391000,2016-01-01 00:00:00
2036,BB,1376000,2016-01-01 00:00:00
2037,HN,1309000,2016-01-01 00:00:00
2038,SV,1285000,2016-01-01 00:00:00
2039,CM,1198000,2016-01-01 00:00:00
2040,MV,1088000,2016-01-01 00:00:00
2041,JE,1085000,2016-01-01 00:00:00
2042,BO,1024000,2016-01-01 00:00:00
2043,IM,1008000,2016-01-01 00:00:00
2044,NA,987000,2016-01-01 00:00:00
2045,BW,965000,2016-01-01 00:00:00
2046,PS,953000,2016-01-01 00:00:00
2047,PY,941000,2016-01-01 00:00:00
2048,FJ,933000,2016-01-01 00:00:00
2049,UZ,907000,2016-01-01 00:00:00
2050,RW,902000,2016-01-01 00:00:00
2051,MO,865000,2016-01-01 00:00:00
2052,GY,864000,2016-01-01 00:00:00
2053,GU,828000,2016-01-01 00:00:00
2054,SY,766000,2016-01-01 00:00:00
2055,LY,753000,2016-01-01 00:00:00
2056,MW,746000,2016-01-01 00:00:00
2057,NI,740000,2016-01-01 00:00:00
2058,MZ,695000,2016-01-01 00:00:00
2059,KG,648000,2016-01-01 00:00:00
2060,GG,643000,2016-01-01 00:00:00
2061,SR,643000,2016-01-01 00:00:00
2062,YE,592000,2016-01-01 00:00:00
2063,BZ,582000,2016-01-01 00:00:00
2064,SO,572000,2016-01-01 00:00:00
2065,LR,554000,2016-01-01 00:00:00
2066,GI,544000,2016-01-01 00:00:00
2067,CI,538000,2016-01-01 00:00:00
2068,SN,534000,2016-01-01 00:00:00
2069,CD,510000,2016-01-01 00:00:00
2070,CW,502000,2016-01-01 00:00:00
2071,BM,475000,2016-01-01 00:00:00
2072,KY,463000,2016-01-01 00:00:00
2073,CU,461000,2016-01-01 00:00:00
2074,LA,456000,2016-01-01 00:00:00
2075,AW,448000,2016-01-01 00:00:00
2076,LC,432000,2016-01-01 00:00:00
2077,HT,399000,2016-01-01 00:00:00
2078,PG,388000,2016-01-01 00:00:00
2079,VI,388000,2016-01-01 00:00:00
2080,AG,387000,2016-01-01 00:00:00
2081,FO,386000,2016-01-01 00:00:00
2082,SL,348000,2016-01-01 00:00:00
2083,MG,343000,2016-01-01 00:00:00
2084,BT,320000,2016-01-01 00:00:00
2085,RE,303000,2016-01-01 00:00:00
2086,TM,299000,2016-01-01 00:00:00
2087,LS,292000,2016-01-01 00:00:00
2088,GD,285000,2016-01-01 00:00:00
2089,DJ,248000,2016-01-01 00:00:00
2090,DM,245000,2016-01-01 00:00:00
2091,BJ,237000,2016-01-01 00:00:00
2092,GM,225000,2016-01-01 00:00:00
2093,SZ,215000,2016-01-01 00:00:00
2094,KN,193000,2016-01-01 00:00:00
2095,MP,188000,2016-01-01 00:00:00
2096,SC,179000,2016-01-01 00:00:00
2097,SS,179000,2016-01-01 00:00:00
2098,VC,171000,2016-01-01 00:00:00
2099,TJ,167000,2016-01-01 00:00:00
2100,SX,167000,2016-01-01 00:00:00
2101,GP,163000,2016-01-01 00:00:00
2102,XK,157000,2016-01-01 00:00:00
2103,TC,154000,2016-01-01 00:00:00
2104,VG,154000,2016-01-01 00:00:00
2105,MQ,147000,2016-01-01 00:00:00
2106,AX,139000,2016-01-01 00:00:00
2107,MC,134000,2016-01-01 00:00:00
2108,GN,128000,2016-01-01 00:00:00
2109,BF,122000,2016-01-01 00:00:00
2110,ML,117000,2016-01-01 00:00:00
2111,AD,114000,2016-01-01 00:00:00
2112,GA,112000,2016-01-01 00:00:00
2113,TL,110000,2016-01-01 00:00:00
2114,BI,109000,2016-01-01 00:00:00
2115,PF,104000,2016-01-01 00:00:00
2116,NC,99000,2016-01-01 00:00:00
2117,CV,95000,2016-01-01 00:00:00
2118,GL,95000,2016-01-01 00:00:00
2119,MR,94000,2016-01-01 00:00:00
2120,TG,92000,2016-01-01 00:00:00
2121,BQ,85000,2016-01-01 00:00:00
2122,AS,81000,2016-01-01 00:00:00
2123,LI,75000,2016-01-01 00:00:00
2124,NE,73000,2016-01-01 00:00:00
2125,SB,67000,2016-01-01 00:00:00
2126,CG,63000,2016-01-01 00:00:00
2127,GF,57000,2016-01-01 00:00:00
2128,AI,51000,2016-01-01 00:00:00
2129,MF,49000,2016-01-01 00:00:00
2130,TD,47000,2016-01-01 00:00:00
2131,VU,44000,2016-01-01 00:00:00
2132,FM,43000,2016-01-01 00:00:00
2133,WS,42000,2016-01-01 00:00:00
2134,MH,34000,2016-01-01 00:00:00
2135,SM,30000,2016-01-01 00:00:00
2136,TO,29000,2016-01-01 00:00:00
2137,CK,28000,2016-01-01 00:00:00
2138,BL,24000,2016-01-01 00:00:00
2139,PW,24000,2016-01-01 00:00:00
2140,FK,23000,2016-01-01 00:00:00
2141,GQ,22000,2016-01-01 00:00:00
2142,YT,22000,2016-01-01 00:00:00
2143,ER,17000,2016-01-01 00:00:00
2144,PM,16000,2016-01-01 00:00:00
2145,GW,15000,2016-01-01 00:00:00
2146,VA,14000,2016-01-01 00:00:00
2147,IO,11000,2016-01-01 00:00:00
2148,CF,8000,2016-01-01 00:00:00
2149,MS,7000,2016-01-01 00:00:00
2150,KI,7000,2016-01-01 00:00:00
2151,ST,7000,2016-01-01 00:00:00
2152,NR,7000,2016-01-01 00:00:00
2153,KP,6000,2016-01-01 00:00:00
2154,KM,6000,2016-01-01 00:00:00
2155,NU,4000,2016-01-01 00:00:00
2156,CX,1000,2016-01-01 00:00:00
2157,CC,1000,2016-01-01 00:00:00
2158,WF,1000,2016-01-01 00:00:00
2159,SJ,1000,2016-01-01 00:00:00
2160,TK,1000,2016-01-01 00:00:00
2161,SH,1000,2016-01-01 00:00:00
2162,PN,1000,2016-01-01 00:00:00
2163,NF,1000,2016-01-01 00:00:00
2164,US,3250694000,2016-02-01 00:00:00
2165,GB,782445000,2016-02-01 00:00:00
2166,IN,477311000,2016-02-01 00:00:00
2167,CA,384293000,2016-02-01 00:00:00
2168,IR,273628000,2016-02-01 00:00:00
2169,AU,217724000,2016-02-01 00:00:00
2170,DE,173235000,2016-02-01 00:00:00
2171,PH,98765000,2016-02-01 00:00:00
2172,FR,80349000,2016-02-01 00:00:00
2173,NL,72604000,2016-02-01 00:00:00
2174,BR,61727000,2016-02-01 00:00:00
2175,IT,57780000,2016-02-01 00:00:00
2176,SE,57204000,2016-02-01 00:00:00
2177,IE,56720000,2016-02-01 00:00:00
2178,PK,56173000,2016-02-01 00:00:00
2179,MY,55497000,2016-02-01 00:00:00
2180,KR,52026000,2016-02-01 00:00:00
2181,SG,50496000,2016-02-01 00:00:00
2182,ID,50314000,2016-02-01 00:00:00
2183,ZA,46462000,2016-02-01 00:00:00
2184,JP,45138000,2016-02-01 00:00:00
2185,ES,44647000,2016-02-01 00:00:00
2186,RU,43702000,2016-02-01 00:00:00
2187,PL,39972000,2016-02-01 00:00:00
2188,NZ,37572000,2016-02-01 00:00:00
2189,MX,36522000,2016-02-01 00:00:00
2190,CN,34063000,2016-02-01 00:00:00
2191,NG,33506000,2016-02-01 00:00:00
2192,NO,33305000,2016-02-01 00:00:00
2193,RO,32399000,2016-02-01 00:00:00
2194,FI,31681000,2016-02-01 00:00:00
2195,TR,30826000,2016-02-01 00:00:00
2196,GR,29951000,2016-02-01 00:00:00
2197,DK,29623000,2016-02-01 00:00:00
2198,AE,29597000,2016-02-01 00:00:00
2199,HK,26434000,2016-02-01 00:00:00
2200,BE,25480000,2016-02-01 00:00:00
2201,TH,24585000,2016-02-01 00:00:00
2202,IL,22349000,2016-02-01 00:00:00
2203,SA,22060000,2016-02-01 00:00:00
2204,CH,21876000,2016-02-01 00:00:00
2205,BD,19974000,2016-02-01 00:00:00
2206,RS,19643000,2016-02-01 00:00:00
2207,CZ,19232000,2016-02-01 00:00:00
2208,--,18722000,2016-02-01 00:00:00
2209,PT,18419000,2016-02-01 00:00:00
2210,UA,17125000,2016-02-01 00:00:00
2211,HU,17004000,2016-02-01 00:00:00
2212,AT,16921000,2016-02-01 00:00:00
2213,HR,16663000,2016-02-01 00:00:00
2214,TW,15395000,2016-02-01 00:00:00
2215,VN,15265000,2016-02-01 00:00:00
2216,AR,14964000,2016-02-01 00:00:00
2217,BG,14054000,2016-02-01 00:00:00
2218,KE,13720000,2016-02-01 00:00:00
2219,EG,12975000,2016-02-01 00:00:00
2220,LK,10958000,2016-02-01 00:00:00
2221,AF,10313000,2016-02-01 00:00:00
2222,CO,10226000,2016-02-01 00:00:00
2223,SI,9448000,2016-02-01 00:00:00
2224,SK,8650000,2016-02-01 00:00:00
2225,CL,8344000,2016-02-01 00:00:00
2226,GH,7971000,2016-02-01 00:00:00
2227,NP,7515000,2016-02-01 00:00:00
2228,LT,7448000,2016-02-01 00:00:00
2229,QA,6591000,2016-02-01 00:00:00
2230,EE,6513000,2016-02-01 00:00:00
2231,PE,6096000,2016-02-01 00:00:00
2232,MA,5936000,2016-02-01 00:00:00
2233,GE,5880000,2016-02-01 00:00:00
2234,PR,5855000,2016-02-01 00:00:00
2235,BA,5762000,2016-02-01 00:00:00
2236,IQ,5405000,2016-02-01 00:00:00
2237,TZ,5381000,2016-02-01 00:00:00
2238,LB,5351000,2016-02-01 00:00:00
2239,KW,5317000,2016-02-01 00:00:00
2240,AL,5272000,2016-02-01 00:00:00
2241,VE,5185000,2016-02-01 00:00:00
2242,MK,5019000,2016-02-01 00:00:00
2243,LV,5001000,2016-02-01 00:00:00
2244,DZ,4695000,2016-02-01 00:00:00
2245,ET,4660000,2016-02-01 00:00:00
2246,JM,4153000,2016-02-01 00:00:00
2247,KZ,4151000,2016-02-01 00:00:00
2248,TT,4121000,2016-02-01 00:00:00
2249,BH,3620000,2016-02-01 00:00:00
2250,JO,3534000,2016-02-01 00:00:00
2251,MM,3492000,2016-02-01 00:00:00
2252,OM,3443000,2016-02-01 00:00:00
2253,IS,3435000,2016-02-01 00:00:00
2254,CR,3382000,2016-02-01 00:00:00
2255,BY,3366000,2016-02-01 00:00:00
2256,MT,3225000,2016-02-01 00:00:00
2257,AZ,3165000,2016-02-01 00:00:00
2258,MU,3141000,2016-02-01 00:00:00
2259,DO,3108000,2016-02-01 00:00:00
2260,UG,3076000,2016-02-01 00:00:00
2261,CY,2973000,2016-02-01 00:00:00
2262,EC,2883000,2016-02-01 00:00:00
2263,ZM,2791000,2016-02-01 00:00:00
2264,ZW,2459000,2016-02-01 00:00:00
2265,TN,2452000,2016-02-01 00:00:00
2266,KH,2372000,2016-02-01 00:00:00
2267,LU,2326000,2016-02-01 00:00:00
2268,PA,2195000,2016-02-01 00:00:00
2269,UY,1963000,2016-02-01 00:00:00
2270,AM,1918000,2016-02-01 00:00:00
2271,MD,1806000,2016-02-01 00:00:00
2272,BN,1786000,2016-02-01 00:00:00
2273,GT,1772000,2016-02-01 00:00:00
2274,MN,1493000,2016-02-01 00:00:00
2275,SD,1490000,2016-02-01 00:00:00
2276,BS,1453000,2016-02-01 00:00:00
2277,ME,1420000,2016-02-01 00:00:00
2278,AO,1351000,2016-02-01 00:00:00
2279,HN,1343000,2016-02-01 00:00:00
2280,SV,1278000,2016-02-01 00:00:00
2281,BB,1266000,2016-02-01 00:00:00
2282,BW,1190000,2016-02-01 00:00:00
2283,NA,1156000,2016-02-01 00:00:00
2284,CM,1097000,2016-02-01 00:00:00
2285,PY,1084000,2016-02-01 00:00:00
2286,RW,1003000,2016-02-01 00:00:00
2287,BO,985000,2016-02-01 00:00:00
2288,PS,964000,2016-02-01 00:00:00
2289,MV,958000,2016-02-01 00:00:00
2290,JE,917000,2016-02-01 00:00:00
2291,IM,875000,2016-02-01 00:00:00
2292,FJ,852000,2016-02-01 00:00:00
2293,GU,817000,2016-02-01 00:00:00
2294,UZ,817000,2016-02-01 00:00:00
2295,MW,788000,2016-02-01 00:00:00
2296,MO,777000,2016-02-01 00:00:00
2297,GY,770000,2016-02-01 00:00:00
2298,SY,742000,2016-02-01 00:00:00
2299,LY,727000,2016-02-01 00:00:00
2300,NI,715000,2016-02-01 00:00:00
2301,MZ,695000,2016-02-01 00:00:00
2302,SR,606000,2016-02-01 00:00:00
2303,CW,572000,2016-02-01 00:00:00
2304,GG,565000,2016-02-01 00:00:00
2305,SO,552000,2016-02-01 00:00:00
2306,BZ,550000,2016-02-01 00:00:00
2307,KG,548000,2016-02-01 00:00:00
2308,PG,526000,2016-02-01 00:00:00
2309,SN,514000,2016-02-01 00:00:00
2310,YE,501000,2016-02-01 00:00:00
2311,CD,462000,2016-02-01 00:00:00
2312,CI,453000,2016-02-01 00:00:00
2313,LA,451000,2016-02-01 00:00:00
2314,KY,443000,2016-02-01 00:00:00
2315,LC,439000,2016-02-01 00:00:00
2316,AW,431000,2016-02-01 00:00:00
2317,LR,424000,2016-02-01 00:00:00
2318,BM,411000,2016-02-01 00:00:00
2319,AG,403000,2016-02-01 00:00:00
2320,CU,400000,2016-02-01 00:00:00
2321,BT,386000,2016-02-01 00:00:00
2322,SL,384000,2016-02-01 00:00:00
2323,VI,383000,2016-02-01 00:00:00
2324,HT,380000,2016-02-01 00:00:00
2325,LS,377000,2016-02-01 00:00:00
2326,SC,372000,2016-02-01 00:00:00
2327,MG,354000,2016-02-01 00:00:00
2328,FO,335000,2016-02-01 00:00:00
2329,RE,311000,2016-02-01 00:00:00
2330,GI,300000,2016-02-01 00:00:00
2331,BJ,295000,2016-02-01 00:00:00
2332,GD,294000,2016-02-01 00:00:00
2333,SZ,269000,2016-02-01 00:00:00
2334,DM,263000,2016-02-01 00:00:00
2335,GM,229000,2016-02-01 00:00:00
2336,DJ,217000,2016-02-01 00:00:00
2337,TM,214000,2016-02-01 00:00:00
2338,KN,205000,2016-02-01 00:00:00
2339,SS,186000,2016-02-01 00:00:00
2340,SX,170000,2016-02-01 00:00:00
2341,VG,164000,2016-02-01 00:00:00
2342,VC,159000,2016-02-01 00:00:00
2343,TJ,155000,2016-02-01 00:00:00
2344,MP,149000,2016-02-01 00:00:00
2345,XK,142000,2016-02-01 00:00:00
2346,GP,139000,2016-02-01 00:00:00
2347,TC,135000,2016-02-01 00:00:00
2348,ML,135000,2016-02-01 00:00:00
2349,MQ,132000,2016-02-01 00:00:00
2350,BF,128000,2016-02-01 00:00:00
2351,GN,126000,2016-02-01 00:00:00
2352,BI,123000,2016-02-01 00:00:00
2353,MC,121000,2016-02-01 00:00:00
2354,AX,119000,2016-02-01 00:00:00
2355,TG,114000,2016-02-01 00:00:00
2356,MR,111000,2016-02-01 00:00:00
2357,GA,105000,2016-02-01 00:00:00
2358,AD,102000,2016-02-01 00:00:00
2359,PF,99000,2016-02-01 00:00:00
2360,BQ,98000,2016-02-01 00:00:00
